name,nomination_no,congress_no,circuit,confirmation_date,yea_votes,nay_votes,record_vote_number
Kent A. Jordan,PN1746,109,Third,12/08/2006,91,0,276
Kimberly Ann Moore,PN1594,109,Federal,09/05/2006,92,0,231
Bobby E. Shepherd,PN1593,109,Eighth,07/20/2006,,,
Neil M. Gorsuch,PN1565,109,Tenth,07/20/2006,,,
Jerome A. Holmes,PN1536,109,Tenth,07/25/2006,67,30,213
Milan D. Smith Jr.,PN1327,109,Ninth,05/16/2006,93,0,120
Sandra Segal Ikuta,PN1296,109,Ninth,06/19/2006,81,0,175
Michael A. Chagares,PN1180,109,Third,04/04/2006,98,0,86
Brett M. Kavanaugh,PN1179,109,District of Columbia,05/26/2006,57,36,159
Thomas B. Griffith,PN202,109,District of Columbia,06/14/2005,73,24,136
Janice R. Brown,PN201,109,District of Columbia,06/08/2005,,,
William H. Pryor Jr.,PN200,109,Eleventh,06/09/2005,53,45,133
Susan Bieke Neilson,PN197,109,Sixth,10/27/2005,97,0,277
David W. McKeague,PN196,109,Sixth,06/09/2005,96,0,135
Richard A. Griffin,PN195,109,Sixth,06/09/2005,95,0,134
Priscilla Richman Owen,PN194,109,Fifth,05/25/2005,55,43,128
William Duane Benton,PN1369,108,Eighth,06/24/2004,,,
Peter W. Hall,PN1195,108,Second,06/24/2004,,,
Franklin S. Van Antwerpen,PN1164,108,Third,05/20/2004,96,0,103
Diane S. Sykes,PN1109,108,Seventh,06/24/2004,70,27,152
Raymond W. Gruender,PN975,108,Eighth,05/20/2004,97,1,102
D. Michael Fisher,PN570,108,Third,12/09/2003,,,
Allyson K. Duncan,PN533,108,Fourth,07/17/2003,93,0,289
Carlos T. Bea,PN523,108,Ninth,09/29/2003,86,0,368
Richard C. Wesley,PN395,108,Second,06/11/2003,96,0,215
Michael Chertoff,PN394,108,Third,06/09/2003,88,1,211
Steven M. Colloton,PN343,108,Eighth,09/04/2003,94,1,327
Consuelo Maria Callahan,PN342,108,Ninth,05/22/2003,99,0,195
Edward C. Prado,PN295,108,Fifth,05/01/2003,97,0,138
Timothy M. Tymkovich,PN16,108,Tenth,04/01/2003,58,41,113
Jeffrey S. Sutton,PN15,108,Sixth,04/29/2003,52,41,135
John G. Roberts Jr.,PN13,108,District of Columbia,05/08/2003,,,
Deborah L. Cook,PN5,108,Sixth,05/05/2003,66,25,139
Jay S. Bybee,PN4,108,Ninth,03/13/2003,74,19,54
Reena Raggi,PN1713,107,Second,09/20/2002,85,0,219
John M. Rogers,PN1300,107,Sixth,11/14/2002,,,
Julia Smith Gibbons,PN1115,107,Sixth,07/29/2002,95,0,194
